run,strategy,processed,wait_critical,wait_economy,revenue,gini,sla_violations
17,PRIORITY_QUEUE,72,309.45454545454544,189.0,36720.0,0.5992676678622526,217
18,FIFO,72,2509.0666666666666,2860.0625,36720.0,0.35924170252549303,231
18,SIRQ,71,167.28571428571428,0.0,489370.8794243493,0.45741611396332305,224
18,POSTED_PRICE,72,241.38888888888889,0.0,42120.0,0.6216861467499608,227
18,PRIORITY_QUEUE,72,241.38888888888889,0.0,36720.0,0.6216861467499608,227
19,FIFO,72,2960.4666666666667,3031.4666666666667,36720.0,0.33446552718752054,166
19,SIRQ,70,175.3548387096774,0.0,355112.76527450717,0.5342091414538161,162
19,POSTED_PRICE,72,251.25806451612902,0.0,40220.0,0.5854998010642349,163
19,PRIORITY_QUEUE,72,251.25806451612902,0.0,36720.0,0.5854998010642349,163
20,FIFO,72,2773.285714285714,2622.846153846154,36720.0,0.3249576657548523,219
20,SIRQ,70,150.5,0.0,380674.8230607871,0.5653298749667466,213
20,POSTED_PRICE,72,190.8148148148148,0.0,38970.0,0.5531972973416746,213
20,PRIORITY_QUEUE,72,190.8148148148148,0.0,36720.0,0.5531972973416746,213
21,FIFO,71,2519.2,2908.4,36210.0,0.36823982526676513,205
21,SIRQ,69,122.25,0.0,418855.0122241842,0.6189812137104547,204
21,POSTED_PRICE,71,235.52173913043478,0.0,37010.0,0.5615462637849562,205
21,PRIORITY_QUEUE,71,235.52173913043478,0.0,36210.0,0.5615462637849562,205
22,FIFO,72,2689.6875,2685.0714285714284,36720.0,0.3167666715974762,215
22,SIRQ,70,223.17241379310346,0.0,370097.18155003473,0.47094742648748866,214
22,POSTED_PRICE,72,260.6,0.0,40020.0,0.5558381496993596,215
22,PRIORITY_QUEUE,72,260.6,0.0,36720.0,0.5558381496993596,215
23,FIFO,72,3175.222222222222,1778.0555555555557,36720.0,0.3185037952257861,217
23,SIRQ,69,124.73333333333333,0.0,261812.97800114827,0.5215130878648018,215
23,POSTED_PRICE,72,252.0,0.0,33970.0,0.4038186357503202,215
23,PRIORITY_QUEUE,72,252.0,0.0,36720.0,0.4038186357503202,215
24,FIFO,70,2629.3,2906.1875,35700.0,0.37049601518374686,231
24,SIRQ,68,210.77777777777777,0.0,394530.96122003254,0.522579953041652,226
24,POSTED_PRICE,70,326.35714285714283,0.0,38200.0,0.5703238409434461,229
24,PRIORITY_QUEUE,70,326.35714285714283,0.0,35700.0,0.5703238409434461,229
25,FIFO,72,2140.8888888888887,3154.714285714286,36720.0,0.33108197084195745,175
25,SIRQ,68,238.52380952380952,0.0,333453.27751119435,0.48107566560795534,173
25,POSTED_PRICE,72,270.95238095238096,0.0,36870.0,0.4853270360248132,175
25,PRIORITY_QUEUE,72,270.95238095238096,0.0,36720.0,0.4853270360248132,175
26,FIFO,71,2109.0,2321.5882352941176,36194.375,0.38416469612889936,208
26,SIRQ,68,169.36,0.0,385707.7505229146,0.5330690599857788,205
26,POSTED_PRICE,71,276.48,43.666666666666664,37410.0,0.5470598356475367,207
26,PRIORITY_QUEUE,71,276.48,43.666666666666664,36194.375,0.5470598356475367,207
27,FIFO,72,2137.5882352941176,2263.1111111111113,36720.0,0.33523417688481993,205
27,SIRQ,69,255.21212121212122,0.0,378685.08218597394,0.5519100876935077,202
27,POSTED_PRICE,72,294.4594594594595,0.0,42470.0,0.5801189737432604,203
27,PRIORITY_QUEUE,72,294.4594594594595,0.0,36720.0,0.5801189737432604,203
28,FIFO,72,2876.5,2558.176470588235,36720.0,0.3914407389600105,213
28,SIRQ,69,170.09375,395.5,422147.8627510426,0.5465346189122309,210
28,POSTED_PRICE,72,266.59375,0.0,40570.0,0.612033862281939,210
28,PRIORITY_QUEUE,72,266.59375,0.0,36720.0,0.612033862281939,210
29,FIFO,72,2474.5714285714284,2335.5555555555557,36720.0,0.34713730352461036,189
29,SIRQ,68,96.36,0.0,342357.69629176194,0.5770784880972639,184
29,POSTED_PRICE,72,275.0,0.0,37770.0,0.5008686084520795,188
29,PRIORITY_QUEUE,72,275.0,0.0,36720.0,0.5008686084520795,188
